,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
Pdzk1,-0.19719008,-0.115264796,0.049570598,-0.08991612,0.11766243,-0.00094715983,-0.26473767,0.16123758,-0.013557243,-0.0049094646,-0.2664279,-0.13224004,-0.12462021,0.1363896,0.30901498,-0.5835266,0.64142245,0.35676718,1.6212571,-0.036182135
Gja5,0.24102433,0.19715793,0.17916873,-0.07007614,0.59218645,-0.5486813,0.46812484,0.28348434,0.3437938,1.3274739,0.25843155,0.56675935,0.6251836,-0.3483371,-1.842538,0.80235535,-0.11713527,-0.54723376,4.183125,0.52775466
Hsd3b6,-0.20880178,0.2573851,-0.4195771,-0.39652112,-0.20835859,-0.19767155,-0.37777793,-0.41730273,-0.32030195,1.8967173,-0.015037512,-0.53026867,0.21175367,-0.28512397,-1.7595146,0.20035793,0.48649308,-3.4580579,3.5116873,-0.3557732
Slc16a1,0.050285447,-0.01900693,-0.2577309,0.035535563,-0.22989333,-0.17007095,0.04393764,-0.35391667,-0.09293075,-0.26206833,-0.13715819,0.026315399,-0.122459196,-0.05065519,0.6148178,-0.0986115,0.12548311,0.31503046,-0.30166355,0.08795748
Pifo,-0.09642571,0.35899782,0.6522975,0.16400626,-0.30928478,-0.14629062,-0.14679563,-0.6572142,-0.21545574,0.064373635,-0.5094401,0.5366915,-0.19380797,-0.5497604,-1.3598902,-0.59605795,-0.38139272,0.2161286,2.0669544,0.187295
Gstm1,-0.13666649,0.061305843,0.14229017,0.07234556,0.084884755,-0.32519686,-0.20308805,0.32576934,-0.10557453,-0.6111533,0.022441665,0.2821919,-0.109464936,-0.20071599,0.44390705,-0.10074624,-0.028008306,0.34039,0.33503544,0.005271373
Mybphl,0.20631531,0.12336409,0.2025122,-0.7213278,0.19376756,-0.44867617,-0.26267576,0.013469146,0.09067544,1.0260458,-0.08268962,-0.22431025,0.2114741,0.040765114,-2.3805413,0.3593537,-0.11936119,-1.064057,3.2092314,-0.20254183
Vcam1,0.028460447,-0.040978234,0.27535903,-0.6922789,0.14522916,0.42502415,-0.21032472,0.19402905,-0.21615803,2.0544388,0.112210944,-0.11797015,-0.40076616,-0.44000667,-2.076711,0.62300175,0.5134942,-1.4909166,2.3400128,-0.487939
Agl,0.21069762,0.12426021,-0.19868957,0.0279598,-0.18045665,-0.24247414,-0.02860946,0.14428742,-0.04180194,0.014853155,-0.02630665,-0.20615855,0.09035369,0.19502062,-0.565375,0.23518617,-0.2309922,-0.16385844,0.7220701,-0.13024169
F3,-0.1437817,0.24806513,-0.3113975,-0.10724104,0.08439603,-0.1475511,0.05630704,0.14117128,-0.15809843,1.0702039,0.11880102,0.14563875,-0.36917666,0.040034737,-0.4244357,0.3920705,-0.29140732,0.43891492,1.0345771,-0.073059894
Prss12,-0.30194533,-0.05159605,-0.14581886,0.17928007,-0.32124078,0.21295013,0.010443456,-0.43951815,-0.10095947,0.7730498,0.011393572,-0.32506248,0.2150278,0.1019813,-0.023479057,0.11687068,1.0125438,0.35538802,2.2080848,0.32300723
Neurog2,0.22483236,-0.919411,-0.2901664,-0.17355357,-0.5404003,-0.65265644,-0.063009866,0.29740983,-0.13399535,0.27955985,-0.28365228,0.83459604,-0.34830743,-0.081210874,-3.0169556,-0.30781692,-0.183512,-1.1110088,2.9735944,0.39335158
Pitx2,-0.44275528,1.033752,0.15704161,0.20753692,-0.083514534,-0.26856092,0.24174309,0.16452086,-0.50133663,0.10837505,0.33062562,-0.054397866,-0.27603236,0.13212892,-0.5796759,0.50094104,1.1093545,0.3815997,0.9174613,-0.7057284
Lef1,-0.18046011,-0.021301102,-0.041538734,0.14128572,-0.21338172,-0.11122714,-0.16403607,0.2613546,0.032825183,-0.45554486,0.13431893,-0.07666303,-0.19563983,-0.10039512,-1.7164193,-0.43563986,0.46927315,0.4868529,-0.23172122,-0.18698578
Dkk2,0.21587858,0.93400294,-0.27292943,0.316499,0.2479869,0.18946865,0.14539799,0.37465814,0.2541683,1.5454679,-0.1336835,0.15208612,-0.4804122,0.009899924,-2.8167217,0.25034183,0.6176412,-0.9706711,2.537948,-0.09104351
Slc39a8,-0.19611318,0.0112493485,-0.25126824,0.010324738,-0.08032764,-0.00976828,-0.07947045,-0.6870936,-0.050182804,-0.5050419,-0.27412295,-0.5197861,-0.021010304,-0.11599924,0.33997652,0.1346908,0.53762347,-0.666196,0.5860657,0.02507254
Emcn,0.22996582,-0.2153799,0.4051274,0.5118659,0.3901758,-0.22073051,0.41863164,-0.6381311,-0.17344618,2.035919,0.26597467,0.25182572,0.5672231,-0.017248608,-3.6881926,0.54698074,-0.36310259,-2.1291442,2.9094174,1.4236412
Mttp,0.06474329,0.08208868,-0.21073465,0.046881646,-0.18001127,-0.07629938,0.01622576,0.16930692,-0.21752207,-0.22846365,-0.07047387,-0.1025812,-0.027517421,-0.11401954,0.21149172,-0.061256353,0.484702,0.13144962,0.8557098,0.04808563
Cyr61,0.23631246,0.066404045,-0.09397837,-0.10770623,0.047272116,-0.17746595,-0.036465794,-0.115615994,-0.11646951,0.68842864,-0.08924672,0.053180497,0.013608841,-0.3093116,-0.79424584,0.21103287,-0.31069487,0.41621718,-0.76949906,0.20616731
Ddah1,0.11220081,-0.35312116,0.03194392,-0.18451191,-0.08049595,-0.11280071,0.09054781,-0.024777934,0.047360573,0.005810428,-0.18770495,0.008658174,-0.23441473,0.008603509,0.4384022,0.092466876,-0.93089134,-0.43350938,-0.33067712,0.21572751
Gipc2,-0.21279646,-0.066832595,0.049982347,0.044003043,0.03956035,0.16001727,0.08074495,-0.017952025,0.09643908,0.17582825,-0.044239484,0.23692976,0.24851531,-0.12435282,0.43883517,0.1444594,0.7803755,0.08616763,1.488949,0.017758986
Nexn,-0.08880744,0.15687884,0.024034988,-0.43954736,0.00050970714,-0.07940197,0.06572474,-0.12987909,-0.13214955,0.5092321,-0.24392952,0.18699257,0.079671554,0.14507626,-1.7727104,0.63330203,0.2715295,-0.43008062,0.6256612,-0.56642497
Cpne3,0.029899836,0.013100879,-0.11236398,0.09676781,-0.06206019,-0.18209001,0.07624707,0.10947922,-0.03818247,0.6079691,-0.14649567,0.115966074,-0.1877368,-0.077152975,0.0068717967,0.034101248,-0.4686964,0.030582355,-0.013029135,0.20157443
Cfap206,-0.19156452,0.32816306,0.59447014,0.64917856,0.008294686,-0.1642513,-0.44919798,-0.7568846,-0.13602337,0.9866248,-0.6208958,0.15861401,-0.26158667,-0.44125006,-2.2378092,-0.25950631,-0.26041642,-0.2618561,2.9183352,0.105856806
Aqp3,0.02418869,0.15423147,-0.26414686,-0.1491649,0.30885607,0.14164566,0.13192374,0.3358636,-0.051333327,0.28258294,0.11517244,0.041935045,0.02161498,-0.44591096,0.77245647,-0.27340138,0.42497948,-0.6327937,1.773071,-0.19297124
1110017D15Rik,-0.10601699,0.24978949,0.96267015,0.44137365,-0.20347501,-0.3289564,-0.49687043,-0.80349785,-0.10329768,0.87921053,-0.6626287,0.06284751,-0.19770522,-0.47695127,-2.0327477,-0.69496965,-0.6434289,-0.17735074,2.5505872,0.28640258
Clta,-0.1337752,-0.09874338,-0.047355093,0.08517248,-0.11004059,-0.11217781,0.009906598,0.119389065,-0.006266717,-0.44040745,-0.0545884,-0.104792945,-0.071160495,-0.10188052,0.6041345,-0.020647667,-0.25105992,0.395842,-1.756356,0.094434865
Igfbpl1,0.026442524,0.24143948,0.07078295,-0.32672355,-0.21171078,-0.18001603,0.3558159,0.11732407,-0.15272407,-0.1048574,-0.21069603,0.22843297,0.44970897,-0.019550215,-1.3859179,-0.4623764,0.807523,0.3988245,0.51281506,0.045496844
Tmod1,0.0061807707,0.16711564,0.2868777,-0.51189464,-0.013154503,-0.18515511,-0.08303973,-0.0060843807,-0.013887473,0.34532645,-0.004547498,-0.5873481,-0.09030925,-0.101251334,-1.2194517,0.39401814,-0.2884139,-1.8724973,1.6674778,-0.6224742
Foxe1,-0.08171475,0.718085,0.3405866,0.4428173,0.04127116,-0.9560155,0.643827,-0.14170904,-0.6870698,2.105711,0.20445935,0.74399775,-0.17544185,-0.10249925,-1.6261498,0.49001753,-0.3979811,0.2958674,3.2352552,-0.3234133
Hemgn,-0.14708166,0.25792515,-0.409924,0.07195871,-0.20486733,-0.0746866,0.4631326,-0.07239996,0.13530216,0.5613779,0.17182954,-0.16177717,-0.07815473,-0.18981126,-1.1329231,-0.14060155,-0.50796044,-2.9111183,3.0092883,-0.20304652
Aldob,-0.07908046,-0.16137108,0.28324613,-0.0099001285,-0.079148084,0.25529826,-0.09985789,0.35715944,-0.062194727,0.19636263,-0.17657813,0.13307644,-0.09503878,-0.0035687909,0.6152633,-0.31930384,0.79110205,-0.13396809,1.881497,-0.0044140127
Tal2,0.21189485,-0.53742504,0.22686358,0.07013845,0.096643284,0.22566545,0.7158378,-0.46423346,-0.57952756,-0.37535512,-0.46317926,0.81496024,0.17337435,0.110174425,-2.0397997,0.4640316,-0.22226304,-0.38557196,1.7642617,0.36572823
Alad,-0.27793705,0.12955283,-0.19832122,0.12304735,-0.08927875,-0.109720066,0.14830923,0.07738104,-0.0463336,-0.4399874,-0.09286825,-0.3032126,-0.009362943,-0.14729704,0.007996343,0.06883063,-0.37821683,-0.42847311,-0.69245285,-0.04735136
Cer1,-0.3371755,0.48446032,-0.05043571,-0.49203187,-1.3476152,-0.37743607,0.10128775,-1.2648684,-0.7679424,0.35159394,0.08317522,-0.009542371,0.15740685,-0.24910362,-1.2012004,-0.6411219,0.1524787,0.49276263,1.7618345,0.7934736
Mllt3,-0.095299624,0.47250897,-0.14707202,0.08671578,-0.17285854,-0.2274115,0.16870306,0.17300056,0.2639483,-0.21223532,-0.12941584,-0.13529386,-0.24607618,-0.30004823,-0.37291116,-0.21490936,-0.03022056,-0.88408595,0.17158793,-0.010000628
Cdkn2a,-0.08544367,-0.12843703,-0.047638066,-0.050167292,-0.2313739,0.02864775,-0.012552612,-0.2938037,-0.039775465,1.3792927,-0.023656435,0.3732039,0.39002603,-0.01048295,0.54372036,-0.100848354,-0.52164793,0.43561804,1.4954114,0.25999713
Jun,0.20652744,-0.05590177,-0.22325125,-0.022782253,0.01777336,-0.16438201,-0.04714368,-0.110660166,-0.18777414,0.093519226,0.02529425,-0.27729768,0.082071275,-0.37687093,-0.63031125,0.33310565,-0.0761303,0.24730867,-0.51751494,-0.0040622577
Lepr,0.37068626,0.010078173,-0.2557318,0.18620959,-0.29875287,-0.17813985,0.24403854,0.19139223,-0.117014796,0.0270383,0.13374378,-0.3636256,-0.07061018,0.064712666,-0.574903,0.12434341,-0.33813444,-0.1421763,0.79727685,-0.032683507
Tctex1d1,-0.36752716,0.54781187,0.33945328,0.10002615,0.27822018,-0.10282929,-0.050063375,-0.55804867,-0.92493075,0.48747286,-0.15601198,-0.22322355,-0.6604032,-0.42149004,-2.335064,-0.74346507,0.14547536,-0.16729142,2.1626363,0.37610504
Tal1,0.20449714,-0.5048081,0.44536334,0.64699274,0.17239022,-0.3990029,0.37641388,-0.8123943,-0.41038406,0.21848921,-0.22288208,-1.3456888,0.100409195,-0.18503368,-1.169325,0.040510632,-0.22531791,-1.6034263,1.3255088,-0.13425903
Atp6v0b,-0.044961974,0.037945308,-0.04566831,0.068508044,-0.073208794,-0.14802572,-0.0019783296,0.063594185,0.020083794,-0.5109414,-0.063812196,-0.10338125,-0.017503101,-0.014176912,0.71924037,0.04771727,-0.06939182,0.19818117,-0.9063368,-0.010462181
Elovl1,-0.1524714,-0.023740754,-0.26732397,0.09822675,-0.012738866,-0.04736086,-0.11116709,0.040660646,0.00860319,0.26626253,-0.009786412,-0.24770388,-0.08318014,-0.04667418,0.43951723,0.091654666,0.085891426,-0.016222212,-0.26693657,-0.018580649
2610528J11Rik,-0.1467032,0.024382029,0.09279932,0.3143128,-0.12750597,-0.005930968,0.0027348404,-0.08883269,-0.07064053,-0.19609551,0.053337768,0.47773677,0.14588057,0.058335736,0.9018001,0.168739,-0.109275594,0.5589729,1.4633794,-0.11998066
Slc2a1,-0.044155985,-0.108436204,-0.25951183,-0.019146388,-0.040040046,0.14991783,0.06293235,-0.003501126,0.06605657,-0.50955313,-0.26815712,0.40977502,-0.21959929,0.015263913,0.14433101,0.22518411,-0.26858893,0.08650238,-1.4420556,0.04860281
Cited4,-0.054081116,-0.47780672,-0.24539268,-0.32693273,-0.054650925,-0.017207418,0.11036462,-0.4575029,0.04787226,-0.19769864,-0.2543379,-0.63172793,0.03200155,-0.13127306,0.21653776,-0.12199573,-0.06546977,-1.8015636,1.0266409,0.097514026
Bmp8b,0.09855985,-0.21109013,-0.10178584,0.11267539,-0.03449487,0.13110493,0.0025938652,-0.14114112,-0.061492126,1.9804525,0.03700379,0.006559344,-0.028265001,0.24457039,-0.5155294,-0.24751174,-1.4390103,0.038804892,1.9934663,-0.10619122
Pou3f1,0.39385706,-0.19531447,0.5193259,0.19508532,-0.2868679,-0.18568777,0.13020767,0.47166023,-0.49867764,-0.061713707,0.068416424,0.49307808,-0.16690104,0.18937367,-0.65809757,0.14677647,-1.5554821,0.5770993,0.5038662,0.18576674
Tekt2,-0.11875921,0.1323724,0.5999437,0.31394014,-0.0979974,-0.34588453,-0.30163085,-0.51388407,-0.18518417,0.1423884,-0.39249963,0.55985534,-0.24583676,-0.6396406,-2.1239965,-0.10459036,-0.52386975,-0.048816234,2.6597197,0.23033911
Gja4,0.37336978,-0.75062037,0.4114637,0.3631471,-0.0706459,-0.5188902,0.3009258,-0.22696966,0.039910592,1.8030756,0.19122823,-0.22994725,0.5752917,-0.31594652,-0.4031463,0.33771315,-0.28752834,-0.4380285,1.9536234,0.29495525
Gjb3,-0.0939951,-0.024480417,-0.38501018,0.14202254,0.26094878,0.07356925,0.25238925,-0.14954276,-0.21482101,1.6007454,0.03261797,0.48362285,0.30681732,-0.2881989,-0.5554996,-0.36032203,-1.2159683,-0.00965683,0.09732098,-0.35070777
Gjb5,-0.17631492,0.12093114,-0.41241136,-0.04052261,-0.057683486,0.1557398,-0.03048539,0.09098251,-0.10935971,2.0182667,0.22555481,0.14268437,0.008574484,-0.0190859,-0.7347157,-0.060190056,-0.9183662,-0.12322881,0.3359946,-0.13745631
Tmem54,-0.148455,-0.079190485,-0.44854006,0.47802305,0.08966223,-0.27859932,-0.15573137,-0.03425163,-0.16472445,0.24823436,0.01636789,0.8540149,0.17388973,0.19165416,-0.044085044,-0.060256667,-1.3015798,0.59099823,1.0585946,-0.39584497
Tinagl1,-0.0861731,0.40839556,-0.20055637,-0.06794423,0.23460302,0.030242123,0.071691684,0.076650225,0.035489205,1.6720616,-0.005273363,0.13680625,-0.19501066,0.3577871,0.4656912,0.36609587,-0.34872392,-0.02513284,0.9047913,-0.09894447
Fabp3,-0.0155845955,-0.07091292,-0.03901892,-0.8575654,0.15721509,0.0926009,0.030351395,0.15263008,0.077226825,0.643038,0.09755009,-0.095225774,0.012992346,0.16031614,0.479758,-0.2501403,-1.3834943,0.18868548,0.21374024,-0.15202528
Sfn,-0.46886468,0.029499454,-0.5256191,0.60001373,0.0812598,-0.14176954,-0.11286912,-0.36146027,0.1480286,0.76279104,0.320613,0.4334096,0.031918053,-0.048090063,-0.21916401,-0.14294574,-1.5415635,0.6219153,0.72978026,-0.10898327
Cd52,-0.15734644,0.047631767,-0.08639887,0.03806753,0.23905864,-0.36337456,-0.31227952,0.17491908,-0.05037804,1.8580555,0.301519,-0.38823077,0.12319452,0.03569648,-1.7032843,-0.14989688,-1.0308893,-0.6007416,2.3521419,0.34842047
Id3,-0.04864817,-0.3620423,-0.05108409,0.050005965,-0.042891983,-0.14943314,0.24705185,0.1594742,-0.20138545,-0.7413875,0.09435433,0.33135793,0.22432695,-0.1987423,0.021564163,-0.029262364,0.4876344,0.9241576,-1.5716875,-0.10323525
Wnt4,0.1262067,-0.14901121,-0.7484159,0.009027717,0.20280623,0.0712393,0.28391427,0.13932024,0.053146373,0.95767033,0.20773299,0.20171204,-0.20610867,0.07594452,-1.5380878,0.44403207,0.26813263,-0.45965096,1.6010127,-0.5793669
Pqlc2,-0.067019515,0.07239627,-0.18242846,0.09912503,0.009096641,-0.16084874,-0.012870662,0.09794404,-0.10563198,0.010955892,-0.01978628,-0.006186696,-0.06526481,-0.025634607,0.42129153,-0.020205682,0.18584724,0.34487283,0.7088951,0.0074252905
Gm13075,0.3123681,-0.10636692,-0.2403989,0.17582214,-0.21977666,-0.017285446,0.12501799,0.20403332,-0.122403935,-0.39581734,0.08823903,-0.272988,0.006461412,0.13764171,-0.6085668,-0.010716343,-0.49341208,0.12206359,0.28860274,0.0022532179
Hspb7,-0.0011308743,0.42386925,0.5446085,-0.7980718,0.013054392,-0.26436982,0.10801189,0.008528112,-0.015592321,1.3488494,-0.4231395,0.100705124,0.119628266,0.13099095,-2.3152208,0.25602832,0.09295103,-1.7458054,2.8082933,-0.3432407
Gm694,0.038865462,0.013296012,-0.01791596,0.09271545,0.43749177,-0.44505304,-0.43861312,-0.75432694,0.65108705,1.6725768,-0.5122686,-0.23604925,0.079110466,-0.58614326,-1.3468176,-0.97490174,0.2323972,-0.9498307,3.1380439,-0.13799615
Nppb,0.37682733,0.31979477,0.5314715,-0.31915003,0.83061314,-0.61839664,-0.18172133,0.13317387,-0.20400071,2.2924192,-0.18351729,-0.07461517,-0.532525,-0.003646693,-1.3964182,0.517513,-1.0907747,-0.98568654,2.2122924,0.030689923
Nppa,0.276548,-0.026082672,0.13639474,-0.743702,0.21774389,-0.79255885,-0.15313566,0.45692155,0.16415757,1.6949886,-0.12211535,-0.12538579,-0.23086902,0.24458937,-2.034007,0.052135862,0.45109046,-1.7611842,2.7087884,-0.512217
Tnfrsf9,0.0065306188,0.20149204,0.041998338,0.20054084,-0.0540558,-0.6171561,-0.21827234,0.6000624,0.23902258,1.3177272,0.27331138,0.3491164,-0.18676358,-0.46255034,-1.6078182,0.00682667,-0.8409526,-0.8947548,2.5846832,0.18089917
Espn,-0.157453,-0.13849021,-0.25892475,0.2047691,0.006598026,-0.48369792,-0.014974677,-0.15715538,-0.09783589,-0.23032853,0.06814047,0.48194912,0.30594397,0.021099463,0.27015936,0.116389625,0.24945252,0.13010171,1.5346954,0.091477856
Hes3,0.17610632,-0.16105163,0.08161498,0.07845166,0.104751416,0.14550582,0.58905506,0.64498395,0.31125337,-0.10109068,-1.1273844,1.4460795,0.1164278,0.08616387,-1.8285823,-0.43336856,0.123408295,-1.3472849,1.6745788,0.5177116
Smim1,-0.15914941,0.06703254,-0.11080995,-0.0479911,-0.19469261,0.045928482,-0.07649392,-0.06632147,0.08746599,0.032386232,-0.10111819,-0.36486796,-0.07975467,0.13054094,0.4856954,0.40335187,-0.34668526,-1.1372857,0.35234842,-0.41828367
Hes5,0.20456477,-0.81658864,0.018531147,-0.30412856,-0.16440175,-0.63444024,0.04136796,0.53906417,-0.005481264,0.32574585,0.22015414,0.8619759,-0.2123298,-0.18398988,-2.0417168,-0.56083125,0.4038674,-0.30527765,1.415181,0.34974787
Steap1,-0.09958474,0.15480411,-0.22573653,0.23129141,-0.09343356,-0.07603367,-0.16882533,0.31335154,0.06854852,0.6169101,-0.12911558,0.12684508,-0.49134377,0.06227164,-0.29849085,0.26928708,0.36626342,0.13963345,0.6142241,0.032852534
Smarcd3,-0.10949812,-0.07698965,0.04160286,-0.4123314,-0.19632122,0.13615665,-0.26010314,0.00681514,-0.3817262,1.0891922,-0.2733145,-0.13127412,0.13029495,-0.0038623258,-1.1108592,-0.0899825,1.1454114,-0.22177498,0.4805515,-0.51501787
Shh,0.07834455,0.20646748,0.3239303,-0.20622084,-0.11120159,-0.5451305,-0.42503697,-1.057066,-0.39989123,1.6106575,-0.08342011,1.1380415,-1.0116836,-0.22070947,-2.4789703,-0.04109345,0.7272219,-0.5248854,2.9807262,0.31371054
1700001C02Rik,0.16496347,0.27552637,0.80986124,-0.083878994,-0.096633054,-0.43194404,-0.29848713,-0.80255455,-0.0910669,1.7697109,-0.33577034,0.2629522,-0.019746035,-0.6953509,-1.0841895,-1.0173843,0.23266752,-1.2211568,4.45766,-0.13265505
4930548H24Rik,0.24412298,-0.0011645592,-0.23598526,0.070124365,-0.28482467,-0.2709013,0.102652065,0.18688512,-0.22946964,0.44407135,0.13492297,-0.17334405,0.13319734,0.17379098,-1.6911882,0.2351123,-0.20570388,-0.31509992,2.1433678,-0.06883668
Gm1673,-0.06925682,0.13475642,0.090697706,-0.017148154,-0.23381539,-0.23019074,0.049523093,0.059977494,-0.18648228,1.0872594,-0.21185969,0.45427004,-0.023131514,0.03606762,-0.7524095,-0.24586295,-0.73151183,-0.11184257,-0.7404839,0.64803207
Nat8l,0.23895833,-0.03033077,0.13511509,0.2505351,-0.477367,-0.23053193,0.22149448,0.20473816,-0.17835112,1.4212552,-0.4305348,0.30640358,-0.13263369,0.37844524,-0.92031395,-0.26983368,-1.1007538,-0.13621946,1.4940495,0.5589877
Lrpap1,-0.17098561,0.06770816,-0.32594728,-0.0999524,0.013788885,0.038914807,0.08147184,-0.1128466,0.065529905,-0.42755735,-0.062828414,0.08674507,-0.0752279,-0.06592333,0.32105568,0.18295614,0.32998234,0.43704885,-0.5023883,-0.27516273
Msx1,-0.22154683,-0.087133996,-0.5549865,0.22805294,0.12847671,-0.0517054,0.6457662,0.19275938,0.3482892,-0.011461511,0.040204428,0.045152027,-0.109994404,-0.07101164,-0.25613117,-0.23439866,1.141004,0.24241479,-0.26793838,-0.55197465
Hs3st1,-0.034168307,0.14789693,-0.22709756,-0.33988106,0.40116024,-0.57982343,-0.11033873,0.01670122,0.01874501,1.0943595,0.05891613,0.11721028,-0.347331,0.1285637,-0.39729747,0.096042655,0.2825214,0.69443566,1.7722663,0.36866593
Fgfbp1,-0.28707084,0.52766323,-0.51380795,-0.025679803,-0.28466862,0.3881249,-0.23349,-0.73418176,0.20724177,1.4431127,0.15170284,0.38442466,0.19035035,0.104677476,-0.79643184,-0.42402995,-1.4092274,0.063903056,1.2741551,0.64867824
Rhoh,0.15367617,0.27774736,-0.20025615,-0.08481995,0.020020116,-0.31937796,-0.20145172,0.38108927,-0.3376725,1.7188361,-0.19257835,-0.025163662,0.048768952,-0.16321865,-1.8273331,0.5006943,-0.12870952,-1.1516441,3.0081344,0.37243536
Phox2b,0.4793987,-0.5342424,0.24555516,-0.59056497,-0.46505478,-1.3628217,-0.68033624,0.57282066,-0.665537,1.1734741,-0.3832432,0.2529414,-0.51745456,0.12649472,-2.8458517,-0.0034218384,0.261235,0.038473845,4.3744802,1.3012617
Spata18,0.08391516,0.42821348,0.5561669,0.40304646,0.06004518,-0.030896394,-0.2217066,-0.501008,-0.32904562,1.9462676,-0.39177054,0.42831048,-0.11024149,-0.89303154,-2.2855146,-0.7660325,-0.26377904,-1.0561081,3.831338,0.06471672
Kdr,0.29691374,-0.16020742,0.18947245,0.68160444,0.007210267,-0.05140199,0.52304083,-0.42650315,-0.3377146,1.6387843,0.12138324,-1.1110195,0.053488426,0.22479446,-1.5539395,0.11970988,0.28653866,-0.31735167,0.67514527,0.18974385
Epha5,0.31755155,0.37956768,0.047489442,0.5386218,-0.501274,-0.22330344,0.8556075,0.021011254,1.3079137,0.34691805,-0.15986408,0.3214347,-0.22384772,0.05517055,-2.2961404,-0.5182973,0.09028032,-0.70585185,1.7178509,0.338775
Grsf1,-0.0468731,-0.13122685,-0.24732308,-0.042025242,-0.07840111,0.026876044,0.02818242,0.16209188,0.47344777,-0.33231053,-0.21056262,-0.071429476,-0.06455888,-0.13942428,-0.2527854,-0.34681037,-0.09720552,0.06457417,-0.7486211,0.0700581
Afp,-0.20820522,0.42052168,-0.19076687,0.48263144,-0.14272642,0.49774703,-0.22053814,0.01497108,-0.09877531,-0.02017265,-0.0006014706,0.44971952,-0.046122387,0.033841085,0.6182396,-0.03951792,0.7361783,-0.53353,1.4327674,0.32041362
Pf4,0.42550197,-0.6992409,0.5503889,0.718294,0.62963814,-0.6246195,-0.59105664,0.08445733,0.02131862,1.6514224,-0.30700973,-0.74010634,0.050257847,0.05524637,-1.869781,0.30861968,-0.0064471792,-2.5310981,3.5068462,0.5182526
Cxcl13,-0.034238853,0.75188506,0.48757216,0.50319386,-0.15532257,-0.5523902,-1.0108654,1.068318,-0.7690669,1.9159818,0.009502586,0.52265745,0.08757928,0.4254956,-3.582479,0.59540814,0.2512662,-2.3501449,4.087249,-0.81735075
Fgf5,-0.38905668,0.5018801,0.17078005,0.24989459,-0.27377677,0.17528881,-0.026089793,-0.53505385,-0.23614843,-1.118916,-0.06621482,-0.049323883,0.07235581,0.1274494,-1.0081999,-0.083992034,-0.8730913,1.3665397,1.8469707,-0.19616388
Plac8,-0.2688446,0.064774044,-0.06837578,0.16205105,0.044815745,-0.12034777,-0.3235635,0.017025966,0.006348961,0.11084634,0.058609813,-0.22099662,-0.064307675,0.11182958,-0.17709254,0.39921495,0.14244781,0.41442376,-0.13047399,-0.48505276
Spp1,0.01147535,0.019611914,0.07147724,-0.21070859,0.23709989,-0.6632881,-0.5301308,0.23509893,-0.12778823,-0.081431486,0.79050547,0.2827494,0.0838071,-0.5479721,-1.9767159,0.52271605,-0.46961358,0.059639465,2.3348205,-0.0038545532
Golga3,0.17124781,-0.007924287,-0.16716549,0.07825921,-0.23386323,-0.10002082,0.039978202,0.11249295,-0.13960184,-0.4089161,0.033978716,-0.17748567,0.009772311,0.15266286,-0.3658587,0.022970792,-0.273496,0.17106578,-0.1653628,-0.051853668
Fbxo21,-0.120958075,-0.15129311,-0.105607785,-0.06694804,-0.18675853,-0.1716272,-0.07242631,0.2730785,-0.15059575,0.29431927,-0.14739704,0.15274757,-0.0066959434,-0.09259194,-0.003870144,-0.14074075,-0.49644855,0.2965117,-0.24180692,-0.0022288777
Lhx5,0.13581724,-0.4531103,0.1303193,-0.5373661,-0.17077479,0.15930228,0.84324247,0.16697623,-0.7805692,0.039123066,0.23526889,0.46592638,-0.7203131,-0.0024133825,-2.7179377,-0.43223265,-0.35288915,-0.28539222,2.1230817,-0.13992071
Myl2,0.02289863,0.1679389,0.26458582,-0.8334518,-0.080984876,-0.29218295,-0.55831283,0.15322527,-0.056269582,1.1031417,-0.096883245,-0.5003341,0.3087573,0.08925005,-1.8306932,-0.60818523,0.5865737,-0.6144219,1.5402912,-0.03386388
Morn3,-0.055269614,0.20333335,0.5155085,0.3399262,-0.022376906,-0.26393422,-0.3236936,-0.72024876,0.022305716,1.4025334,-0.49974728,-0.17893016,-0.22576952,-0.60508937,-1.7457362,-0.4027725,0.05045005,-1.0389986,3.515116,0.2608872
Gm43409,0.43825996,0.047731057,-0.2507523,0.1957293,-0.3192617,-0.08494825,0.107603036,0.25047508,-0.11740379,0.4137228,0.115017265,-0.33064964,-0.064977325,0.23316473,-0.6863928,0.120623924,-0.38179737,-0.084512524,1.2719882,-0.12429934
Pitpnm2os2,0.2092093,0.42023265,-0.32129344,-0.17531785,-0.72238684,-0.49217898,0.30740172,-0.06721145,-0.20686282,1.4536587,-0.29129595,-0.41004205,-0.20709741,0.20337059,-1.6964709,0.5742951,0.59468865,-0.99156255,3.8741312,0.1093826
Psph,-0.19139233,0.04535182,-0.005858023,0.034034032,-0.03770444,-0.037408702,-0.06913894,0.19941851,-0.08034369,-0.4113814,-0.18223037,-0.058050018,-0.11056817,-0.022444375,0.5402998,0.011677469,0.14795919,0.19272149,-0.47120255,-0.10184666
Gm42590,-0.039410654,-0.12750721,-0.20446146,-0.14051872,-0.31822687,0.11795321,-0.031225117,0.16427305,-0.36420456,1.7164999,0.112836204,0.046406798,0.24613418,0.09643802,-2.1815555,0.2958761,0.09541981,-0.9508918,3.498336,0.13920628
