,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
Zic1,-0.25765026,0.09498054,-0.9417032,-0.46083277,0.3269547,-0.03764448,0.29119053,0.83791274,-0.19639853,-1.6931462,0.40501398,0.41600347,-0.16171074,-0.33633766,-3.3302479,0.5476857,2.769244,-1.0918189,4.0473967,-0.057690483
Rbp1,-0.28842232,0.27771387,-0.34039673,0.13688174,-0.09302778,0.041215554,-0.10012424,0.18120655,0.22338386,0.18816352,-0.2336414,0.3746891,0.019266361,0.07420791,-0.13275197,-0.62221855,-0.109856516,0.37521112,-1.0688338,0.4526087
Nme9,0.02826557,0.33897138,0.8133501,0.5661196,0.188566,-0.34222648,-0.3548371,-0.77034396,-0.21607313,1.4185996,-0.66373885,0.22928374,-0.15692878,-0.6243793,-2.2910466,-0.6001495,-0.43919876,-1.1651986,3.92879,0.060277637
Trf,-0.26786384,0.16838093,-0.04458192,0.3511517,0.032231666,0.19078587,-0.22838709,-0.02801147,-0.0909807,0.09514378,0.04453182,0.20542836,-0.0794048,-0.049543563,0.36578724,0.055671446,0.88334775,-0.21148221,1.8111713,0.42922303
Tmem108,0.1338071,0.03223833,0.050954267,0.013648707,-0.03299989,0.05708584,-0.0876773,-0.004597287,-0.10718642,0.52949077,-0.24387608,0.24492726,-0.25900632,0.2641047,-1.588107,0.55086446,0.08201501,0.013126193,0.25555387,-0.10486841
Fam212a,-0.014663482,-0.5679358,-0.050352614,0.2815976,0.47311142,-0.23257193,-0.2042103,-0.04951669,-0.3259019,0.11380293,0.32453802,-1.2180449,-0.20593043,-0.077879146,-1.2977048,-0.3934556,0.23091908,-1.2804369,0.0671983,0.33528644
Gpx1,-0.19624199,0.07707164,-0.07661997,0.07752159,-0.07646109,-0.05680555,0.09279437,0.008873131,0.0052368767,-0.78571784,-0.05873897,-0.29782665,0.038599264,-0.008877436,0.49864545,-0.014271567,-0.42536464,0.010714632,-1.6096052,-0.05358775
Pth1r,-0.056382254,0.4178333,-0.05811878,-0.26134863,-0.15372857,0.008341254,0.0838844,0.19780952,-0.2367979,0.8272306,-0.07191369,-0.3155818,-0.15615617,0.2749754,0.16588186,-0.17837515,0.3762285,0.25496808,0.25154704,0.27479124
Myl3,0.04920496,0.1683421,0.2584002,-0.9214316,-0.02708503,-0.62959146,0.29759225,-0.41572604,0.49671882,0.79327214,-0.19581896,0.7098278,-0.070339635,0.20895234,-0.6464224,0.24086593,0.5108108,-0.7362884,1.9484619,-0.075470425
Prss50,-0.014648682,0.19105,-0.05437087,0.14285178,-0.10029955,-0.097722374,-0.032279853,0.046984147,-0.12695427,0.18556255,-0.19861601,-0.38727084,-0.27555293,-0.02052167,-0.4475651,-0.27068958,-1.6830574,-0.678889,0.960258,0.22855037
Tdgf1,-0.06986718,0.5481051,0.7310772,-0.4040317,0.22093916,-0.11823031,0.3072527,-0.5639871,0.08947459,-0.8281308,0.074854575,-1.2991703,-0.16374041,0.12877695,-1.3337942,-0.3976339,-0.7633144,1.6823443,1.1373942,-0.6594779
